subjectID,block,seqID,itemID,button,relRT
2,training1,1,1,1,4.17887592316
2,training1,1,2,3,5.4026620388
2,training1,1,3,4,6.29333806038
2,training1,1,4,2,7.25331997871
2,training1,1,5,1,9.57477498055
2,training1,1,6,3,10.2685260773
2,training1,1,7,4,10.7649250031
2,training1,1,8,2,11.1945118904
2,training2,1,1,3,4.63040781021
2,training2,1,1,1,5.70118379593
2,training2,1,1,2,17.6019728184
2,training2,1,2,4,18.0351638794
2,training2,2,1,1,4.0031080246
2,training2,2,2,3,4.43247914314
2,training2,3,1,1,15.368650198
2,training2,3,1,3,16.4397931099
2,training2,3,1,2,3.08517098427
2,training2,3,2,1,3.54952096939
2,training2,4,1,3,2.91354393959
2,training2,4,2,4,3.34380197525
2,training2,5,1,4,2.18503093719
2,training2,5,1,3,3.42028284073
2,training2,5,2,3,3.91631388664
2,training2,6,1,4,0.926856994629
2,training2,6,2,1,1.45617818832
2,training2,7,1,1,0.794589042664
2,training2,7,2,4,2.77514100075
2,training2,8,1,4,2.48303198814
2,training2,8,2,3,2.9121029377
2,training2,9,1,1,0.59598493576
2,training2,9,2,1,1.12444901466
2,training2,10,1,2,2.68636798859
2,training2,10,2,2,3.15023207664
2,training2,11,1,3,5.13495087624
2,training2,11,2,2,5.62974095345
2,training2,12,1,1,1.42208909988
2,training2,12,2,2,1.98469591141
2,training2,13,1,4,0.666256904602
2,training2,13,2,2,1.1958129406
2,training2,14,1,4,1.75862503052
2,training2,14,2,4,2.18973112106
2,training2,15,1,3,1.95593500137
2,training2,15,2,1,2.41791796684
2,training2,16,1,2,1.99410700798
2,training2,16,2,3,2.45649290085
2,training2,1,1,3,0.531607866287
2,training2,1,2,1,0.828572034836
2,training2,2,1,4,0.266696929932
2,training2,2,2,4,0.662744998932
2,training2,3,1,1,0.199754953384
2,training2,3,2,4,0.595592975616
2,training2,4,1,2,1.32540512085
2,training2,4,2,4,1.68905210495
2,training2,5,1,3,1.857391119
2,training2,5,2,2,2.22137308121
2,training2,6,1,3,0.829391956329
2,training2,6,2,4,1.15894913673
2,training2,7,1,1,0.29927277565
2,training2,7,2,1,0.763514995575
2,training2,8,1,1,0.562690019608
2,training2,8,2,3,0.961098909378
2,training2,9,1,3,0.234345912933
2,training2,9,2,3,0.598040103912
2,training2,10,1,2,1.49407100677
2,training2,10,2,3,1.85728597641
2,training2,11,1,1,0.629064083099
2,training2,11,2,2,1.52093911171
2,training2,12,1,4,0.49916601181
2,training2,12,2,1,0.994865179062
2,training2,13,1,4,0.828087091446
2,training2,13,2,3,1.22403907776
2,training2,14,1,2,0.49860906601
2,training2,14,2,2,0.964150190353
2,training2,15,1,4,0.233407020569
2,training2,15,2,2,0.596312046051
2,training2,16,1,2,0.664689064026
2,training2,16,2,1,1.06305599213
2,block1,1,1,4,11.6399018764
2,block1,1,2,3,12.333698988
2,block1,1,3,2,12.9962639809
2,block1,1,4,1,13.7864148617
2,block1,1,5,4,14.9444549084
2,block1,1,6,3,15.5734469891
2,block1,1,7,2,16.2027459145
2,block1,1,8,1,16.8699629307
2,block1,1,9,4,18.2932398319
2,block1,1,10,3,19.6502249241
2,block1,1,11,2,20.2114889622
2,block1,1,12,1,20.7743308544
2,block1,1,13,4,21.4720518589
2,block1,1,14,3,22.0698919296
2,block1,1,15,2,22.6042737961
2,block1,1,16,1,23.1682767868
2,block1,1,17,4,23.729184866
2,block1,1,18,3,24.2577278614
2,block1,1,19,2,24.7865967751
2,block1,1,20,1,25.282476902
2,block1,1,21,4,26.2092278004
2,block1,1,22,3,26.7376599312
2,block1,1,23,2,27.2672228813
2,block1,1,24,1,27.8302628994
2,block1,1,25,4,29.1188240051
2,block1,1,26,3,29.5812408924
2,block1,1,27,2,30.0135409832
2,block1,1,28,1,30.4782698154
2,block1,1,29,4,32.1656098366
2,block1,1,30,3,32.6286389828
2,block1,1,31,2,33.0917599201
2,block1,1,32,1,33.5553238392
2,block1,1,33,4,34.2157747746
2,block1,1,34,3,34.744702816
2,block1,1,35,2,35.2728469372
2,block1,1,36,1,35.8381898403
2,block1,2,1,4,10.8732647896
2,block1,2,2,1,11.5042150021
2,block1,2,3,4,12.3001790047
2,block1,2,4,4,13.0651929379
2,block1,2,5,2,13.8603258133
2,block1,2,6,1,14.5560259819
2,block1,2,7,4,15.876352787
2,block1,2,8,3,16.6694409847
2,block1,2,9,1,17.3633069992
2,block1,3,1,2,8.99911689758
2,block1,3,2,1,9.69371581078
2,block1,3,3,4,10.5869908333
2,block1,3,4,4,11.5812449455
2,block1,3,5,1,12.5089008808
2,block1,3,6,2,14.399949789
2,block1,3,7,1,14.8964378834
2,block1,3,8,4,15.5573859215
2,block1,3,9,4,16.1845099926
2,block1,3,10,1,17.1129179001
2,block1,3,11,3,17.8105998039
2,block1,3,12,1,18.4383299351
2,block1,3,13,3,19.1337878704
2,block1,4,1,1,6.62479114532
2,block1,4,2,4,7.4867041111
2,block1,4,3,3,9.87538814545
2,block1,4,4,3,10.8331301212
2,block1,4,5,1,11.6597831249
2,block1,4,6,4,12.5534892082
2,block1,4,7,3,13.5462341309
2,block1,4,8,3,14.8683791161
2,block1,5,1,1,2.51622104645
2,block1,5,2,3,3.30878901482
2,block1,5,3,1,3.96929883957
2,block1,5,4,3,4.76114797592
