subjectID,block,seqID,itemID,button,relRT
8,training1,1,1,1,6.09702801704
8,training1,1,2,3,7.25384998322
8,training1,1,3,4,7.88505196571
8,training1,1,4,2,8.48484706879
8,training2,1,1,3,2.68330693245
8,training2,1,2,2,5.05977106094
8,training2,2,1,1,0.663254022598
8,training2,2,2,2,2.18433499336
8,training2,3,1,3,0.766052961349
8,training2,3,2,3,1.09961509705
8,training2,4,1,1,0.896876811981
8,training2,4,1,4,2.72892093658
8,training2,4,2,3,5.87210798264
8,training2,5,1,1,1.91697001457
8,training2,5,1,3,3.52026200294
8,training2,5,1,4,4.59110403061
8,training2,5,1,2,5.62869405746
8,training2,5,2,1,6.3565120697
8,training2,5,1,4,7.42732691765
8,training2,5,1,3,8.53134894371
8,training2,5,1,2,9.60224604607
8,training2,5,2,2,11.6859049797
8,training2,5,1,3,12.7567780018
8,training2,5,1,2,14.6873829365
8,training2,5,2,3,15.0206830502
8,training2,6,1,4,0.832041978836
8,training2,6,2,2,1.42703199387
8,training2,7,1,2,0.437519073486
8,training2,7,2,4,0.833940029144
8,training2,8,1,1,2.22304010391
8,training2,8,2,3,2.68691802025
8,training2,9,1,2,3.58017706871
8,training2,9,2,1,5.70071911812
8,training2,10,1,1,3.37801599503
8,training2,10,2,1,3.87811613083
8,training2,11,1,4,2.35430693626
8,training2,11,2,4,3.24672293663
8,training2,12,1,4,0.400757074356
8,training2,12,2,1,0.765407085419
8,training2,13,1,2,0.266604185104
8,training2,13,2,2,0.530733108521
8,training2,14,1,3,1.63001799583
8,training2,14,2,4,2.097645998
8,training2,15,1,1,1.03044080734
8,training2,15,2,4,1.36125779152
8,training2,16,1,3,0.167088031769
8,training2,16,2,1,0.49703001976
8,block1,1,1,1,8.30380988121
8,block1,1,2,3,8.89793395996
8,block1,1,3,4,10.5886039734
8,block1,1,4,2,10.9215948582
8,block1,2,1,1,0.0359230041504
8,block1,2,2,2,0.101828098297
8,block1,2,3,4,0.16715502739
8,block1,2,4,3,0.233407974243
8,block1,2,5,1,0.299600124359
8,block1,3,1,1,0.00228214263916
8,block1,3,2,3,0.0355629920959
8,block1,3,3,4,0.102953195572
8,block1,3,4,2,0.202939033508
8,block1,3,5,1,0.269472122192
8,block1,3,6,3,0.303596019745
8,block1,3,7,1,0.402918100357
8,block1,3,8,4,0.469107151031
8,block1,3,9,4,0.535389184952
8,block1,3,10,1,0.601688146591
8,block1,3,11,4,0.667387008667
8,block1,3,12,4,0.733908176422
8,block1,3,13,1,0.800168991089
8,block1,3,14,4,0.866519212723
8,block1,3,15,3,0.932928085327
8,block1,3,16,4,4.04129004478
8,block1,4,1,1,0.0352427959442
8,block1,4,2,4,0.101363897324
8,block1,4,3,2,0.167674779892
8,block1,5,1,1,1.52206897736
8,block1,5,2,1,2.0498111248
8,block1,5,3,1,2.57870793343
8,block1,5,4,2,3.0739440918
8,block1,5,5,1,3.56946492195
8,block1,5,6,2,6.08719706535
8,block1,5,7,4,7.28129911423
8,block1,5,8,3,7.71154713631
8,block1,6,1,1,3.5436000824
8,block1,6,2,2,4.87042498589
8,block1,6,3,4,5.59942603111
8,block1,7,1,1,2.61462903023
8,block1,7,2,2,3.1800699234
8,block1,7,3,4,3.70852303505
8,block1,7,4,1,5.49224805832
8,block1,7,5,2,6.05408811569
8,block1,7,6,4,6.74853610992
8,block1,7,7,1,7.21099901199
8,block1,7,8,2,7.87231492996
8,block1,7,9,3,8.47071099281
8,block1,7,10,4,9.00365805626
8,block1,7,11,1,10.3621931076
8,block1,8,1,1,1.88924694061
8,block1,8,2,4,2.45288801193
8,block1,8,3,2,5.23412489891
8,block1,8,4,1,6.1287560463
8,block1,8,5,4,7.15427303314
8,block1,8,6,2,7.58343791962
8,block1,8,7,1,8.2129368782
8,block1,8,8,2,8.60904502869
8,block1,8,9,4,9.07218790054
8,block1,8,10,3,9.6691660881
8,block1,9,1,4,2.52779507637
8,block1,9,2,2,3.15599894524
8,block1,9,3,4,3.78255605698
8,block1,9,4,2,4.40944099426
8,block1,9,5,1,7.48620605469
8,block1,9,6,3,8.21169900894
8,block1,9,7,4,9.76558303833
8,block1,9,8,2,10.1953270435
8,block1,10,1,1,1.9522190094
8,block1,10,2,2,2.67872905731
8,block1,10,3,4,3.1409740448
8,block1,10,4,1,3.56981492043
8,block1,10,5,2,4.03254508972
8,block1,10,6,4,4.52753710747
8,block1,10,7,1,4.9571928978
8,block1,10,8,2,5.45328092575
8,block1,10,9,4,5.88479208946
8,block1,10,10,3,6.28341698647
8,block1,11,1,2,1.52558708191
8,block1,11,2,4,1.95487809181
8,block1,11,3,2,2.35110592842
8,block1,11,4,4,2.81588697433
8,block1,11,5,3,3.24504208565
8,block1,11,6,4,3.61087203026
8,block1,11,7,1,4.1746199131
8,block1,12,1,1,3.51589393616
8,block1,12,2,3,3.9449698925
8,block1,12,3,2,4.37584400177
8,block1,12,4,4,4.83921384811
8,block1,12,5,1,5.2683429718
8,block1,12,6,3,5.66435289383
8,block1,12,7,2,6.06072092056
8,block1,12,8,4,6.49238300323
8,block1,12,9,1,6.8933339119
8,block1,12,10,3,7.32348394394
8,block1,12,11,2,7.68684792519
8,block1,12,12,4,8.08300089836
8,block1,13,1,1,1.55920004845
8,block1,13,2,3,2.09162092209
8,block1,13,3,4,3.18245005608
8,block1,13,4,2,3.61159992218
8,block1,13,5,1,4.00816988945
8,block1,13,6,3,4.43929409981
8,block1,13,7,4,4.80288791656
8,block1,13,8,2,5.16704797745
8,block1,13,9,1,5.53066897392
8,block1,13,10,3,5.96131706238
8,block1,13,11,2,6.39115190506
8,block1,13,12,4,6.78732299805
8,block1,13,13,1,7.18340396881
8,block1,13,14,3,7.57999491692
8,block1,13,15,4,7.94441199303
8,block1,13,16,2,8.3101670742
8,block1,14,1,2,1.8882060051
8,block1,14,2,3,2.41863822937
8,block1,14,3,2,2.94580721855
8,block1,14,4,3,3.44221520424
8,block1,14,5,1,5.53215312958
8,block1,14,6,4,6.72238922119
8,block1,14,7,3,8.6427230835
8,block1,15,1,1,1.98590016365
8,block1,15,2,2,2.64621305466
8,block1,15,3,4,3.31350803375
8,block1,15,4,3,3.84393620491
8,block1,15,5,1,4.30701208115
8,block1,15,6,2,4.76909399033
8,block1,15,7,4,5.19902801514
8,block1,15,8,3,5.59395003319
8,block1,15,9,1,5.99080300331
8,block1,15,10,2,6.38756608963
8,block1,15,11,4,6.75017809868
8,block1,15,12,3,7.08071112633
8,block1,16,1,1,2.87804818153
8,block1,16,2,3,4.69932413101
8,block1,16,3,1,6.51896214485
8,block1,16,4,3,7.97327804565
8,block1,16,5,1,9.07010102272
8,block1,16,6,4,9.59990620613
8,block1,16,7,1,10.5612800121
