subjectID,block,seqID,itemID,button,relRT
2,training1,1,1,1,3.34315609932
2,training1,1,2,1,9.97963619232
2,training1,1,3,1,14.2367150784
2,training1,1,4,2,15.6866650581
2,training1,1,5,3,16.2268850803
2,training1,1,6,1,17.0083351135
2,training1,1,7,2,17.5954461098
2,training1,1,8,3,18.0643692017
2,training1,1,9,1,22.9920151234
2,training1,1,10,2,23.4519760609
2,training1,1,11,3,24.0162270069
2,training2,1,1,2,1.63777494431
2,training2,2,1,1,0.470768928528
2,training2,3,1,3,0.277760982513
2,training2,4,1,1,0.715764045715
2,training2,4,2,3,1.19112610817
2,training2,4,3,1,1.67671108246
2,training2,4,4,2,2.07312607765
2,training2,5,1,2,1.15352892876
2,training2,5,2,2,1.50278496742
2,training2,5,3,1,1.90040111542
2,training2,5,4,3,2.3284060955
2,training2,6,1,3,0.418375968933
2,training2,6,2,2,0.823570013046
2,training2,6,3,3,1.21257519722
2,training2,6,4,1,1.64171218872
2,training2,7,1,1,0.132466077805
2,training2,7,1,2,2.98684406281
2,training2,7,1,3,1.98128604889
2,training2,7,2,3,2.32215285301
2,training2,7,3,2,3.09535503387
2,training2,7,4,1,3.5329208374
2,training2,8,1,2,1.04070591927
2,training2,8,2,3,1.48605704308
2,training2,8,1,2,2.86542105675
2,training2,8,2,1,3.27136206627
2,training2,8,3,2,3.74754714966
2,training2,8,4,3,4.22421908379
2,training2,9,1,1,0.676147937775
2,training2,9,2,1,1.16054105759
2,training2,9,3,3,1.62785005569
2,training2,9,4,2,2.07386803627
2,training2,1,1,2,1.93459606171
2,training2,2,1,3,1.25377702713
2,training2,2,1,1,2.26040315628
2,training2,3,1,3,0.965001106262
2,training2,4,1,1,1.83109307289
2,training2,4,2,3,2.40246891975
2,training2,4,3,1,2.88037204742
2,training2,4,4,2,3.2923169136
2,training2,5,1,2,1.01986098289
2,training2,5,2,2,1.50409698486
2,training2,5,3,1,3.85911798477
2,training2,5,4,3,4.32599782944
2,training2,6,1,3,0.562510967255
2,training2,6,2,2,1.06465792656
2,training2,6,3,3,1.52530503273
2,training2,6,4,1,1.98726701736
2,training2,7,1,1,0.339590072632
2,training2,7,1,3,1.34530496597
2,training2,7,2,3,1.81842207909
2,training2,7,3,2,2.30379891396
2,training2,7,4,1,2.7102689743
2,training2,8,1,2,1.3595199585
2,training2,8,2,1,4.68772888184
2,training2,8,3,2,5.63498306274
2,training2,8,4,3,6.09514307976
2,training2,9,1,1,1.64130997658
2,training2,9,2,1,2.19676613808
2,training2,9,3,3,2.72206497192
2,training2,9,4,2,3.16725301743
2,block1,1,1,3,48.9130749702
2,block1,1,2,3,49.3770439625
2,block1,1,3,1,50.2687988281
2,block1,1,4,2,50.8301079273
2,block1,1,5,3,52.4515988827
2,block1,1,6,2,52.9801189899
2,block1,1,7,2,53.4776568413
2,block1,1,8,1,54.5713248253
2,block1,2,1,1,6.28815412521
2,block1,2,2,3,6.91917896271
2,block1,2,3,1,8.24291610718
2,block1,2,4,3,9.03541707993
2,block1,2,5,2,9.92871594429
2,block1,2,6,3,10.4251711369
2,block1,2,7,1,11.321557045
2,block1,2,8,1,11.8182561398
2,block1,2,9,2,12.9087309837
2,block1,2,10,3,13.4384381771
2,block1,3,1,1,6.59562110901
2,block1,3,2,1,6.92494106293
2,block1,3,3,3,7.75365996361
2,block1,3,4,3,8.21502113342
2,block1,3,5,1,9.37387299538
2,block1,3,6,3,9.96856498718
2,block1,3,7,1,10.7037270069
2,block1,3,8,2,11.5640029907
2,block1,3,9,2,12.1255090237
2,block1,3,10,1,13.249710083
2,block1,3,11,3,14.110309124
2,block1,4,1,3,14.5329940319
2,block1,4,2,2,15.1292080879
2,block1,4,3,1,16.2542369366
2,block1,4,4,3,16.9503998756
2,block1,4,5,3,18.3740160465
2,block1,4,6,1,19.6326210499
2,block1,4,7,3,20.19551301
2,block1,4,8,1,20.6251699924
2,block1,4,9,3,21.2518460751
2,block1,4,10,2,21.8810780048
2,block1,4,11,2,22.5734870434
2,block1,5,1,2,10.600618124
2,block1,5,2,3,11.1360530853
2,block1,5,3,1,12.6568629742
2,block1,5,4,3,13.3514280319
2,block1,5,5,3,13.9146211147
2,block1,5,6,2,14.4774270058
2,block1,5,7,3,15.6364030838
2,block1,5,8,2,16.1995480061
2,block1,5,9,3,16.7607581615
2,block1,5,10,2,17.3243250847
2,block1,5,11,1,17.8209950924
2,block1,6,1,2,8.1800699234
2,block1,6,2,3,8.64326000214
2,block1,6,3,2,9.17258000374
2,block1,6,4,1,10.6599049568
2,block1,6,5,2,11.2227399349
2,block1,6,6,1,11.7849369049
2,block1,6,7,2,12.3484470844
2,block1,6,8,1,13.5756618977
2,block1,6,9,2,14.0709929466
2,block1,6,10,3,14.5990569592
2,block1,6,11,1,15.3263530731
2,block1,7,1,2,2.25258207321
2,block1,7,2,3,2.78096294403
2,block1,7,3,2,3.74002289772
2,block1,7,4,1,4.33642601967
2,block1,7,5,2,4.90055084229
2,block1,7,6,3,5.53104996681
2,block1,7,7,3,6.12644696236
2,block1,7,8,1,7.38544607162
2,block1,7,9,2,8.61331486702
2,block1,7,10,1,9.24416899681
2,block1,7,11,1,9.90488386154
2,block1,7,12,3,10.5012788773
2,block1,8,1,1,1.59307098389
2,block1,8,2,2,2.1237719059
2,block1,8,3,1,2.68732094765
2,block1,8,4,2,3.28287982941
2,block1,8,5,1,3.78044986725
2,block1,8,6,2,4.57282996178
2,block1,8,7,1,5.1338019371
2,block1,8,8,3,5.72763681412
2,block1,8,9,3,6.25948286057
2,block1,8,10,3,6.88728785515
2,block1,8,11,3,7.48567795753
2,block1,8,12,2,8.18237996101
2,block1,9,1,2,3.5473959446
2,block1,9,2,1,4.04251790047
2,block1,9,3,2,5.70007491112
2,block1,9,4,3,6.2305970192
2,block1,9,5,3,6.82684588432
2,block1,9,6,2,7.35653996468
2,block1,9,7,3,7.95195007324
2,block1,9,8,2,8.54760408401
2,block1,9,9,3,9.14353895187
2,block1,9,10,2,9.73961400986
2,block1,9,11,3,10.2689239979
2,block1,9,12,1,10.7345640659
2,block1,10,1,1,2.11811518669
2,block1,10,2,2,2.57979202271
2,block1,10,3,1,3.07747817039
2,block1,10,4,2,3.6388220787
2,block1,10,5,1,4.20040917397
2,block1,10,6,3,4.76379609108
2,block1,10,7,3,5.32445907593
2,block1,10,8,3,5.95195603371
2,block1,10,9,2,6.94584608078
2,block1,11,1,1,3.90632796288
2,block1,11,2,3,5.26426887512
2,block1,11,3,2,5.89314389229
2,block1,11,4,1,6.52331185341
2,block1,11,5,3,7.02078080177
2,block1,11,6,2,7.5493388176
2,block1,11,7,1,8.07945084572
2,block1,11,8,3,8.60867285728
2,block1,11,9,3,9.10441589355
2,block1,11,10,3,9.73668193817
