subjectID,block,seqID,itemID,button,relRT
8,block1,1,1,1,2.3202009201
8,block1,1,2,3,2.61810302734
8,block1,1,3,4,2.98138809204
8,block1,1,4,1,3.34429097176
8,block1,1,5,3,3.74027109146
8,block1,1,6,4,4.0718460083
8,block1,1,7,1,4.43590712547
8,block1,1,8,3,4.83304810524
8,block1,1,9,4,5.19615697861
8,block2,1,1,1,3.28161096573
8,block2,1,2,3,3.64477086067
8,block2,1,3,4,3.97653102875
8,block2,1,4,1,4.34160494804
8,block2,1,5,3,4.70506191254
8,block2,1,6,4,5.03527808189
8,block2,1,7,1,5.40002799034
8,block2,1,8,3,5.7980659008
8,block2,1,9,4,6.1279129982
