subjectID,block,seqID,itemID,button,relRT
3,training1,1,1,4,4.01035904884
3,training1,1,2,3,5.83361697197
3,training1,1,3,2,7.55545806885
3,training1,1,4,1,9.07717609406
3,training2,1,1,1,3.37338399887
3,training2,1,2,2,4.52998185158
3,training2,1,1,1,6.12829494476
3,training2,1,2,3,6.65695405006
3,training2,2,1,4,2.32369303703
3,training2,2,1,2,3.39575600624
3,training2,2,2,1,8.62617111206
3,training2,2,1,2,9.69708514214
3,training2,2,2,4,15.3227930069
3,training2,3,1,1,8.78731513023
3,training2,3,2,3,9.41471600533
3,training2,3,1,1,10.4858341217
3,training2,3,2,4,19.1658861637
3,training2,4,1,4,10.3668079376
3,training2,4,1,3,12.16634202
3,training2,4,1,2,13.8006179333
3,training2,4,2,1,14.7613630295
3,training2,4,1,1,19.7056920528
3,training2,4,1,2,20.9769659042
3,training2,4,2,1,22.3338499069
3,training2,4,1,3,23.833411932
3,training2,4,1,4,25.4985051155
3,training2,4,1,2,30.5797049999
3,training2,4,2,2,33.3271279335
3,training2,4,1,1,34.6295831203
3,training2,4,1,3,35.833878994
3,training2,4,1,4,37.0365021229
3,training2,4,1,2,38.1730821133
3,training2,4,2,2,40.752245903
3,training2,4,1,2,41.7902550697
3,training2,4,2,1,43.1437671185
3,training2,4,1,4,49.0463249683
3,training2,4,1,3,50.5168659687
3,training2,4,1,2,51.754338026
3,training2,4,2,1,54.1717450619
3,training2,4,1,4,56.1683130264
3,training2,4,1,3,57.2391619682
3,training2,4,1,2,58.2772541046
3,training2,4,2,1,59.1071491241
3,training2,4,1,1,63.4281520844
3,training2,4,1,2,65.0282859802
3,training2,4,2,2,66.9130470753
3,training2,4,1,2,71.5647189617
3,training2,4,2,1,73.3504929543
3,training2,4,1,2,74.9186561108
3,training2,4,2,3,75.9119639397
3,training2,5,1,3,6.61790108681
3,training2,5,1,2,7.82058596611
3,training2,5,2,3,9.08333492279
3,training2,5,1,2,10.8487100601
3,training2,5,2,1,11.7725188732
3,training2,6,1,1,0.035413980484
3,training2,6,1,2,1.53771996498
3,training2,6,1,1,2.60904383659
3,training2,6,1,4,3.64751505852
3,training2,6,2,3,4.27496790886
3,training2,7,1,2,50.5142049789
3,training2,7,1,3,4.10900092125
3,training2,7,2,4,7.22147107124
3,training2,7,1,3,8.92324995995
3,training2,7,2,2,9.51958203316
3,training2,7,1,3,10.756362915
3,training2,7,2,1,11.3205430508
3,training2,7,3,1,12.0484259129
3,training2,8,1,2,1.22540092468
3,training2,8,2,2,1.9867579937
3,training2,8,3,4,2.67934513092
3,training2,8,1,2,4.01425099373
3,training2,8,2,2,4.70747709274
3,training2,8,3,3,5.36828398705
3,training2,9,1,1,0.795388936996
3,training2,9,1,3,1.99843001366
3,training2,9,1,4,3.03685212135
3,training2,9,2,4,3.66770410538
3,training2,9,3,2,4.72711110115
3,training2,9,1,4,6.06116509438
3,training2,9,2,4,6.65860700607
3,training2,9,3,3,7.22014594078
3,training2,9,1,4,8.35695910454
3,training2,9,2,4,8.88535809517
3,training2,9,3,1,9.41383814812
3,training2,10,1,3,1.59566903114
3,training2,10,2,3,2.19109392166
3,training2,10,3,2,2.91738915443
3,training2,10,1,3,3.9882581234
3,training2,10,2,3,4.84830713272
3,training2,10,3,1,5.37824201584
3,training2,10,1,3,6.48301315308
3,training2,10,2,3,6.97919392586
3,training2,10,3,4,7.50907492638
3,training2,11,1,2,1.06275510788
3,training2,11,1,1,2.16717100143
3,training2,11,2,2,4.12082791328
3,training2,11,1,1,5.19201993942
3,training2,11,2,4,6.97812509537
3,training2,11,3,1,7.74049496651
3,training2,11,4,4,8.50176405907
3,training2,12,1,3,2.06047391891
3,training2,12,2,2,3.54830598831
3,training2,12,3,2,4.31049489975
3,training2,12,4,3,4.96935510635
3,training2,13,1,1,3.34336996078
3,training2,13,2,1,5.32582616806
3,training2,13,1,1,7.49198913574
3,training2,13,2,3,8.35208511353
3,training2,13,3,2,9.47451806068
3,training2,13,1,3,10.7106750011
3,training2,13,1,1,12.840113163
3,training2,13,2,3,13.4675030708
3,training2,13,3,4,14.3280911446
3,training2,13,4,4,15.0562181473
3,training2,13,1,3,17.0906369686
3,training2,13,1,1,18.7244429588
3,training2,13,2,3,19.4846429825
3,training2,13,3,4,20.278083086
3,training2,13,4,2,20.9394841194
3,training2,14,1,3,3.6128950119
3,training2,14,2,4,8.38349103928
3,training2,14,1,3,10.0489518642
3,training2,14,2,2,10.6431179047
3,training2,14,3,1,12.5017418861
3,training2,14,1,3,14.134814024
3,training2,14,2,2,14.6305449009
3,training2,14,3,4,15.1937599182
3,training2,14,4,1,16.1230020523
3,training2,15,1,3,4.29708504677
3,training2,15,1,2,6.72455787659
3,training2,15,1,1,7.79609203339
3,training2,15,2,1,8.48848104477
3,training2,15,3,2,9.74373292923
3,training2,15,1,1,11.5103669167
3,training2,15,2,1,12.2051408291
3,training2,15,3,4,12.9989039898
3,training2,15,4,4,13.7902460098
3,training2,1,1,4,9.22384786606
3,training2,1,1,1,10.4598798752
3,training2,1,2,3,11.6162209511
3,training2,2,1,2,0.398390054703
3,training2,2,2,4,1.05882501602
3,training2,3,1,1,0.925527095795
3,training2,3,2,4,1.5584731102
3,training2,4,1,2,1.65378189087
3,training2,4,2,3,2.24744677544
3,training2,5,1,2,1.16828489304
3,training2,5,2,1,1.76297307014
3,training2,6,1,4,1.26258587837
3,training2,6,2,3,1.85753202438
3,training2,7,1,2,0.760619163513
3,training2,7,1,3,3.22454214096
3,training2,7,2,2,4.97706103325
3,training2,7,1,3,6.04817700386
3,training2,7,2,1,6.57694911957
3,training2,7,3,1,7.23932909966
3,training2,8,1,2,0.859807014465
3,training2,8,2,2,1.52220106125
3,training2,8,3,3,2.08485507965
3,training2,9,1,4,1.42452001572
3,training2,9,2,3,2.15112400055
3,training2,9,1,4,3.22154712677
3,training2,9,2,4,3.71977519989
3,training2,9,3,1,4.18149709702
3,training2,10,1,3,0.269573926926
3,training2,10,2,3,0.797780990601
3,training2,10,3,2,1.25961589813
3,training2,10,1,3,2.33049488068
3,training2,10,2,3,2.82536697388
3,training2,10,3,1,3.32108402252
3,training2,10,1,3,4.3919069767
3,training2,10,2,3,4.82374191284
3,training2,10,3,4,5.25496006012
3,training2,11,1,1,0.496309995651
3,training2,11,2,4,1.0930378437
3,training2,11,3,1,1.62354278564
3,training2,11,4,4,2.22160291672
3,training2,12,1,3,0.435009002686
3,training2,12,2,2,0.897140979767
3,training2,12,3,2,1.42689704895
3,training2,12,4,3,1.85653090477
3,training2,13,1,1,0.531975984573
3,training2,13,2,4,1.09507608414
3,training2,13,1,1,2.29785299301
3,training2,13,2,3,3.06088089943
3,training2,13,3,2,3.75414204597
3,training2,13,1,3,4.82446289062
3,training2,13,1,1,6.68830895424
3,training2,13,2,3,8.27625989914
